Country,January,February,March,April,May
Afghanistan,0,0,4,64,68
Albania,0,0,15,31,31
Algeria,0,0,44,450,453
Andorra,0,0,12,42,43
Angola,0,0,2,2,2
Antigua and Barbuda,0,0,0,3,3
Argentina,0,0,27,218,225
Armenia,0,0,3,32,33
Australia,0,0,36,186,186
Austria,0,0,128,584,589
Azerbaijan,0,0,5,24,25
Bahamas,0,0,0,11,11
Bahrain,0,0,4,8,8
Bangladesh,0,0,5,168,170
Barbados,0,0,0,7,7
Belarus,0,0,1,89,93
Belgium,0,0,705,7594,7703
Belize,0,0,0,2,2
Benin,0,0,0,1,2
Bhutan,0,0,0,0,0
Bolivia,0,0,6,59,66
Bosnia and Herzegovina,0,0,13,69,70
Botswana,0,0,1,1,1
Brazil,0,0,201,6006,6412
Brunei,0,0,1,1,1
Bulgaria,0,0,8,66,68
Burkina Faso,0,0,14,43,44
Burma,0,0,1,6,6
Burundi,0,0,0,1,1
Cabo Verde,0,0,1,1,1
Cambodia,0,0,0,0,0
Cameroon,0,0,6,61,61
Canada,0,0,101,3310,3357
Central African Republic,0,0,0,0,0
Chad,0,0,0,5,5
Chile,0,0,12,227,234
China,213,2837,3309,4637,4637
Colombia,0,0,16,293,314
Comoros,0,0,0,0,0
Congo (Brazzaville),0,0,0,9,9
Congo (Kinshasa),0,0,8,31,32
Costa Rica,0,0,2,6,6
Cote d'Ivoire,0,0,1,14,15
Croatia,0,0,6,69,75
Cuba,0,0,6,61,64
Cyprus,0,0,8,15,15
Czechia,0,0,31,236,240
Denmark,0,0,0,0,0
Denmark,0,0,0,0,0
Denmark,0,0,90,452,460
Diamond Princess,0,6,10,13,13
Djibouti,0,0,0,2,2
Dominica,0,0,0,0,0
Dominican Republic,0,0,51,301,313
Ecuador,0,0,75,900,1063
Egypt,0,0,46,392,406
El Salvador,0,0,1,10,10
Equatorial Guinea,0,0,0,1,1
Eritrea,0,0,0,0,0
Estonia,0,0,4,52,52
Eswatini,0,0,0,1,1
Ethiopia,0,0,0,3,3
Fiji,0,0,0,0,0
Finland,0,0,17,211,218
France,0,2,3532,24410,24628
Gabon,0,0,1,3,3
Gambia,0,0,1,1,1
Georgia,0,0,0,6,7
Germany,0,0,775,6623,6736
Ghana,0,0,5,17,17
Greece,0,0,49,140,140
Grenada,0,0,0,0,0
Guatemala,0,0,1,16,16
Guinea,0,0,0,7,7
Guinea-Bissau,0,0,0,1,1
Guyana,0,0,2,9,9
Haiti,0,0,0,8,8
Holy See,0,0,0,0,0
Honduras,0,0,7,71,75
Hungary,0,0,16,312,323
Iceland,0,0,2,10,10
India,0,0,35,1154,1223
Indonesia,0,0,136,792,800
Iran,0,43,2898,6028,6091
Iraq,0,0,50,93,94
Ireland,0,0,71,1232,1265
Israel,0,0,20,222,225
Italy,0,29,12428,27967,28236
Jamaica,0,0,1,8,8
Japan,0,5,56,430,455
Jordan,0,0,5,8,8
Kazakhstan,0,0,2,25,25
Kenya,0,0,1,17,21
"Korea, South",0,16,162,248,250
Kosovo,0,0,1,22,22
Kuwait,0,0,0,26,30
Kyrgyzstan,0,0,0,8,8
Laos,0,0,0,0,0
Latvia,0,0,0,15,16
Lebanon,0,0,12,24,24
Liberia,0,0,0,16,18
Libya,0,0,0,3,3
Liechtenstein,0,0,0,1,1
Lithuania,0,0,8,45,45
Luxembourg,0,0,23,90,92
Madagascar,0,0,0,0,0
Malawi,0,0,0,3,3
Malaysia,0,0,43,102,103
Maldives,0,0,0,1,1
Mali,0,0,2,26,26
Malta,0,0,0,4,4
Mauritania,0,0,1,1,1
Mauritius,0,0,5,10,10
Mexico,0,0,29,1859,1972
Moldova,0,0,4,116,122
Monaco,0,0,1,4,4
Mongolia,0,0,0,0,0
Montenegro,0,0,2,7,7
Morocco,0,0,36,170,171
Mozambique,0,0,0,0,0
MS Zaandam,0,0,0,2,2
Namibia,0,0,0,0,0
Nepal,0,0,0,0,0
Netherlands,0,0,1039,4795,4893
New Zealand,0,0,1,19,20
Nicaragua,0,0,1,3,3
Niger,0,0,3,32,33
Nigeria,0,0,2,58,68
North Macedonia,0,0,9,77,81
Norway,0,0,39,210,210
Oman,0,0,1,11,11
Pakistan,0,0,26,385,417
Panama,0,0,30,188,192
Papua New Guinea,0,0,0,0,0
Paraguay,0,0,3,10,10
Peru,0,0,30,1051,1124
Philippines,0,1,88,568,579
Poland,0,0,33,644,651
Portugal,0,0,160,989,1007
Qatar,0,0,2,10,12
Romania,0,0,82,717,744
Russia,0,0,17,1073,1169
Rwanda,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0
Saint Lucia,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0
San Marino,0,0,26,41,41
Sao Tome and Principe,0,0,0,0,1
Saudi Arabia,0,0,10,162,169
Senegal,0,0,0,9,9
Serbia,0,0,16,179,179
Seychelles,0,0,0,0,0
Sierra Leone,0,0,0,7,7
Singapore,0,0,3,15,16
Slovakia,0,0,0,23,23
Slovenia,0,0,15,91,92
Somalia,0,0,0,28,28
South Africa,0,0,5,103,116
South Sudan,0,0,0,0,0
Spain,0,0,8464,24543,24543
Sri Lanka,0,0,2,7,7
Sudan,0,0,2,31,36
Suriname,0,0,0,1,1
Sweden,0,0,180,2586,2653
Switzerland,0,0,433,1737,1754
Syria,0,0,2,3,3
aiwan*,0,1,5,6,6
Tajikistan,0,0,0,0,0
Tanzania,0,0,1,16,16
Thailand,0,0,10,54,54
Timor-Leste,0,0,0,0,0
Togo,0,0,1,9,9
Trinidad and Tobago,0,0,3,8,8
Tunisia,0,0,10,41,41
Turkey,0,0,214,3174,3258
Uganda,0,0,0,0,0
Ukraine,0,0,17,261,272
United Arab Emirates,0,0,6,105,111
United Kingdom,0,0,2429,26842,27583
Uruguay,0,0,1,17,17
United States of America,0,1,5367,62996,64943
Uzbekistan,0,0,2,9,9
Venezuela,0,0,3,16,10
Vietnam,0,0,0,0,0
West Bank and Gaza,0,0,1,2,2
Western Sahara,0,0,0,0,0
Yemen,0,0,0,2,2
Zambia,0,0,0,3,3
Zimbabwe,0,0,1,4,4
